DATE,GEPUCURRENT
2012-06-01,188.15786106070428
2012-07-01,158.86700808216676
2012-08-01,122.47227296975142
2012-09-01,151.85841660364545
2012-10-01,158.58613526231122
2012-11-01,173.90146775711992
2012-12-01,168.53458065027078
2013-01-01,167.80045638926111
2013-02-01,125.66971273752027
2013-03-01,141.66354445227566
2013-04-01,134.60002686421927
2013-05-01,106.45866645892158
2013-06-01,120.41978743360444
2013-07-01,107.9368452362887
2013-08-01,118.64107934635416
2013-09-01,132.71907720039115
2013-10-01,157.5538966803997
2013-11-01,96.04223579852655
2013-12-01,118.34402699449097
2014-01-01,110.88993123258032
2014-02-01,97.96257100206914
2014-03-01,113.27932628111753
2014-04-01,101.11806329971519
2014-05-01,103.69865003417716
2014-06-01,86.30033577300205
2014-07-01,92.86803091785067
2014-08-01,98.86652230058405
2014-09-01,123.02509314609755
2014-10-01,118.84966871149666
2014-11-01,113.21621742228146
2014-12-01,111.5870378801769
2015-01-01,135.77340179498688
2015-02-01,112.29316779477136
2015-03-01,103.68433629139729
2015-04-01,101.30792081876837
2015-05-01,106.04350906096069
2015-06-01,117.48958531051142
2015-07-01,128.78952478310072
2015-08-01,130.83555276305916
2015-09-01,173.74426832778084
2015-10-01,124.65499568045341
2015-11-01,101.5037653339429
2015-12-01,113.28067948687742
2016-01-01,149.85401554556736
2016-02-01,154.98721995210437
2016-03-01,165.66288053416537
2016-04-01,143.81714389165884
2016-05-01,131.85185041867962
2016-06-01,242.05488667713126
2016-07-01,234.33492250253636
2016-08-01,143.0904946737854
2016-09-01,148.41147643736795
2016-10-01,133.4674006873659
2016-11-01,249.46039109189437
2016-12-01,221.05578018175902
2017-01-01,264.08323243481294
2017-02-01,200.67455895936936
2017-03-01,233.81065441531877
2017-04-01,179.5832331978176
2017-05-01,164.52472611842842
2017-06-01,168.9584062552204
2017-07-01,147.20386315540816
2017-08-01,140.14266235295435
2017-09-01,156.27879875163862
2017-10-01,148.55523827839235
2017-11-01,155.04427306359696
2017-12-01,148.64993147049785
2018-01-01,150.62038431344044
2018-02-01,123.86128432852284
2018-03-01,167.36263861180367
2018-04-01,155.79680913017037
2018-05-01,174.7539840135955
2018-06-01,176.69616514613412
2018-07-01,220.97393104896977
2018-08-01,178.96698021594054
2018-09-01,194.21621237645383
2018-10-01,219.46466313473056
2018-11-01,244.5307952100914
2018-12-01,268.55322126556945
2019-01-01,261.0540791488141
2019-02-01,204.54215199110655
2019-03-01,248.8496018475659
2019-04-01,190.24278685980042
2019-05-01,238.91137525253762
2019-06-01,313.6391733404694
2019-07-01,259.0559735603955
2019-08-01,315.3572026952299
2019-09-01,272.15621124221013
2019-10-01,256.67247418779806
2019-11-01,251.51984504671952
2019-12-01,264.18779249842584
2020-01-01,226.95508915965024
2020-02-01,228.65078288735083
2020-03-01,356.14157152971336
2020-04-01,357.94141948560866
2020-05-01,430.3492939866717
2020-06-01,328.4886515040037
2020-07-01,351.2257906989064
2020-08-01,301.2653310835983
2020-09-01,290.26551864008445
2020-10-01,306.67870964840097
2020-11-01,366.9557799387164
2020-12-01,295.06994789917195
2021-01-01,276.4764605509004
2021-02-01,212.60240947853043
2021-03-01,212.3500895163298
2021-04-01,196.4417276796511
2021-05-01,187.6856631119193
2021-06-01,176.08975734346035
2021-07-01,203.47912265810646
2021-08-01,213.0546256605839
2021-09-01,202.94494072547116
2021-10-01,192.8685039290731
2021-11-01,225.72609790012532
2021-12-01,263.2470097929707
2022-01-01,232.90166330548385
2022-02-01,189.31469993024677
2022-03-01,330.5026682035268
2022-04-01,299.78898547828527
2022-05-01,290.45239505212993
2022-06-01,274.7220899154515
2022-07-01,315.9620709393634
2022-08-01,256.91394855712883
2022-09-01,280.6698469875067
2022-10-01,299.7744580027182
2022-11-01,331.3358109210172
2022-12-01,260.4349612761733
2023-01-01,251.89324981090397
2023-02-01,249.168682555284
2023-03-01,318.9531483161916
